x: 6 | y: 5 | z: 3 - 0.073419
x: 7 | y: 5 | z: 3 - 0.154055
x: 8 | y: 5 | z: 3 - 0.317617
x: 9 | y: 5 | z: 3 - 0.613224
x: 0 | y: 5 | z: 4 - 0.602061
x: 1 | y: 5 | z: 4 - 0.299393
x: 2 | y: 5 | z: 4 - 0.130509
x: 3 | y: 5 | z: 4 - 0.049904
x: 4 | y: 5 | z: 4 - 0.040647
x: 5 | y: 5 | z: 4 - 0.025607
x: 6 | y: 5 | z: 4 - 0.064493
x: 7 | y: 5 | z: 4 - 0.125541
x: 8 | y: 5 | z: 4 - 0.304262
x: 9 | y: 5 | z: 4 - 0.601527
x: 0 | y: 5 | z: 5 - 0.601532
x: 1 | y: 5 | z: 5 - 0.301613
x: 2 | y: 5 | z: 5 - 0.125589
x: 3 | y: 5 | z: 5 - 0.061105
x: 4 | y: 5 | z: 5 - 0.025607
x: 5 | y: 5 | z: 5 - 0.043364
x: 6 | y: 5 | z: 5 - 0.049452
x: 7 | y: 5 | z: 5 - 0.136739
x: 8 | y: 5 | z: 5 - 0.299361
x: 9 | y: 5 | z: 5 - 0.603602
x: 0 | y: 5 | z: 6 - 0.612679
x: 1 | y: 5 | z: 6 - 0.317622
x: 2 | y: 5 | z: 6 - 0.152633
x: 3 | y: 5 | z: 6 - 0.073419
x: 4 | y: 5 | z: 6 - 0.064493
x: 5 | y: 5 | z: 6 - 0.049452
x: 6 | y: 5 | z: 6 - 0.088007
x: 7 | y: 5 | z: 6 - 0.147665
x: 8 | y: 5 | z: 6 - 0.322492
x: 9 | y: 5 | z: 6 - 0.612145
x: 0 | y: 5 | z: 7 - 0.644564
x: 1 | y: 5 | z: 7 - 0.375047
x: 2 | y: 5 | z: 7 - 0.216912
x: 3 | y: 5 | z: 7 - 0.154055
x: 4 | y: 5 | z: 7 - 0.125541
x: 5 | y: 5 | z: 7 - 0.136739
x: 6 | y: 5 | z: 7 - 0.147665
x: 7 | y: 5 | z: 7 - 0.223227
x: 8 | y: 5 | z: 7 - 0.373903
x: 9 | y: 5 | z: 7 - 0.645637
x: 0 | y: 5 | z: 8 - 0.716857
x: 1 | y: 5 | z: 8 - 0.500301
x: 2 | y: 5 | z: 8 - 0.375347
